nombre;dpto;dpto_desc;distrito;dist_desc;codigo_institucion;?column?
CERRO PUNTA;4;GUAIRA;3;MAURICIO JOSE TROCHE;2842;-
5298 (10429) ENRIQUE PLATE;4;GUAIRA;5;FELIX PEREZ CARDOZO;2861;-
1848 SAN FRANCISCO DE ASIS;9;PARAGUARI;10;QUIINDY;6193;-
STO. FRANCISCO MONTANIA;2;SAN PEDRO;6;LIMA;1609;-
3607 (12416) SAN NIGUEL;10;ALTO PARANA;10;LOS CEDRALES;7120;-
3050 4 DE MAYO;2;SAN PEDRO;17;CAPIIBARY;1789;-
SAN ROQUE GONZALEZ DE SANTACRUZ;4;GUAIRA;6;GENERAL EUGENIO A. GARAY;2894;-
8-46;8;MISIONES;1;SAN JUAN BAUTISTA;15487;-
2871 MARIA AUXILIADORA;11;CENTRAL;9;LUQUE;8147;-
TECNICO EN SALUD CYMA;2;SAN PEDRO;17;CAPIIBARY;15297;-
2081 VIRGEN DE FATIMA;1;CONCEPCION;1;CONCEPCION;794;-
6037 PRIV. SUBV. SAN ROQUE;11;CENTRAL;2;CAPIATA;7654;-
4500 (14867) SAN ISIDRO;2;SAN PEDRO;14;GENERAL RESQUIN;2102;-
6136 MBUSUY;14;CANINDEYU;3;CURUGUATY;10511;-
7450 PROYECTO PEPE SEMILLITA;11;CENTRAL;9;LUQUE;15786;-
NUEVA AUSTRALIA;5;CAAGUAZU;8;NUEVA LONDRES;3701;-
6817 NTRA. SRA. DE LA ASUNCON;11;CENTRAL;13;SAN ANTONIO;12150;-
15303 COLEGIO CRISTO REY;11;CENTRAL;6;ITAUGUA;7946;-
2808 EMILIANO BAREIRO;9;PARAGUARI;8;MBUYAPEY;6131;-
17-24;17;ALTO PARAGUAY;2;PUERTO CASADO;15988;-
3566 SANTA TERESA;6;CAAZAPA;2;ABAI;4299;-
3509 SAN BLAS;10;ALTO PARANA;6;ITAKYRY;6942;-
4736 RENACER;11;CENTRAL;10;MARIANO ROQUE ALONSO;8354;-
NEW AMERICAN SCHOLL;11;CENTRAL;14;SAN LORENZO;8507;-
5551 (14209) CMDTE.PEDRO CABALLERO;11;CENTRAL;14;SAN LORENZO;8502;-
