nombre;dpto;dpto_desc;distrito;dist_desc;codigo_institucion;?column?
10-63;10;ALTO PARANA;1;CIUDAD DEL ESTE;6612;-
1914 SANTA CATALINA DE SIENA;14;CANINDEYU;3;CURUGUATY;9432;-
4745 SAN ROQUE GONZALEZ DE SANTACRUZ;2;SAN PEDRO;16;GUAJAYVI;2264;-
7629 (5561) (15277) CRISTIANA PUERTA DEL;11;CENTRAL;2;CAPIATA;7662;-
113 VERBO DIVINO;0;ASUNCION;0;ASUNCION;325;-
6816 SAN ANTONIO;11;CENTRAL;3;FERNANDO DE LA MORA;7772;-
4328 (13041) SAN ISIDRO LABRADOR;10;ALTO PARANA;8;ÐACUNDAY;7077;-
LOS PRIMEROS COLONOS DEL CHACO;16;BOQUERON;5;LOMA PLATA;10065;-
1012 GRAL DIM CESAR BARRIENTOS;3;CORDILLERA;5;CARAGUATAY;2434;-
5571 (15410) NTRA. SRA. DE LA ASUNCION -;11;CENTRAL;8;LIMPIO;8128;-
6922 RUPERTA DE GONZALEZ;1;CONCEPCION;3;HORQUETA;12087;-
7438 ARAZA;2;SAN PEDRO;4;GENERAL ELIZARDO AQUINO;15753;-
14-85;14;CANINDEYU;4;VILLA YGATIM?;13264;-
S/N EL PELICANO;16;BOQUERÓN;1;DR. PEDRO P.PEÑA;16237;-
973  EMILIANO R. FERNANDEZ;10;ALTO PARANA;4;DR. JUAN LEON MALLORQUIN;6814;-
GRAL. JOSE E. DIAZ;1;CONCEPCION;1;CONCEPCION;834;-
DR. JOSE GASPAR RODRIGUEZ DE FRANCIA;0;ASUNCION;0;ASUNCION;78;-
GRAL. JOSE E. DIAZ;13;AMAMBAY;1;PEDRO JUAN CABALLERO;9117;-
CEN-INFO;2;SAN PEDRO;18;SANTA ROSA DEL AGUARAY;16147;-
3680 (14001) SAN MIGUEL ARCANGEL;3;CORDILLERA;1;CAACUPE;2282;-
C.R.E. GRAL.PATRICIO ESCOBAR;7;ITAPUA;1;ENCARNACION;4647;-
PIONERO;7;ITAPUA;1;ENCARNACION;4650;-
7427 KO'E PYAHU;6;CAAZAPA;5;GENERAL HIGINIO MORINIGO;15737;-
2635 SAN ANTONIO DE PADUA;2;SAN PEDRO;9;SAN PABLO;1926;-
278 SANTA CATALINA;10;ALTO PARANA;1;CIUDAD DEL  ESTE;6492;-
6271  MEDALLA MILAGROSA;11;CENTRAL;10;MARIANO ROQUE ALONSO;12046;-
MARIA CONCEPCION;3;CORDILLERA;16;SAN BERNARDINO;13728;-
4306 (12686) SAN JOSE OBRERO;14;CANINDEYU;10;NUEVA ESPERANZA;9676;-
4996 (15129) VIRGEN DE CAACUPE;2;SAN PEDRO;14;GENERAL RESQUIN;2116;-
2797 PROF. MARIA ESQUIVEL DE DOMINGUEZ;9;PARAGUARI;10;QUIINDY;6197;-
5046 (10502) SAN LUIS;5;CAAGUAZU;10;SAN JOSE DE LOS ARROYOS;3761;-
12021 SOL NACIENTE;10;ALTO PARANA;14;NARANJAL;7334;-
4301 (14414) SAN ROQUE;14;CANINDEYU;7;FRANCISCO CABALLERO ALVAREZ;9700;-
2033 TTE. JULIO LOPEZ;7;ITAPUA;12;GENERAL ARTIGAS;5111;-
ESC. AGRICOLA DE VILLARRICA;4;GUAIRA;11;MBOCAYATY;15914;-
3424 (13790) SAN BLAS;11;CENTRAL;13;SAN ANTONIO;8449;-
1789 PROF. JUAN RAMON AGUIAR ARMOA;6;CAAZAPA;7;SAN JUAN NEPOMUCENO;4446;-
JUAN DE ROSA NUÐEZ (SAN PEDRO);14;CANINDEYU;1;SALTOS DEL GUAIRA;9327;-
7546 GUARDERIA KO'EJU MCADO. MUNIC.;9;PARAGUARI;1;PARAGUARI;11091;-
1-86 SANTO REY;1;CONCEPCION;1;CONCEPCION;13808;-
2-159;2;SAN PEDRO;14;GENERAL RESQUIN;11963;-
10-29;10;ALTO PARANA;1;CIUDAD DEL ESTE;6587;-
14-79;14;CANINDEYU;3;CURUGUATY;9325;-
3213 HEROES DEL CHACO;1;CONCEPCION;3;HORQUETA;1036;-
NORMA;10;ALTO PARANA;4;DR. JUAN LEON MALLORQUIN;12794;-
6781 (12386) MACEDONIA;15;PRESIDENTE HAYES;7;TTE 1RO MANUEL IRALA FERNANDEZ;9804;-
7401 ANDREA POR AMIGO;2;SAN PEDRO;6;LIMA;13984;-
6-66;6;CAAZAPA;11;3 DE MAYO;12002;-
SANTA MARIA DEL CHACO;16;BOQUERON;2;MARISCAL ESTIGARRIBIA;10063;-
E.N. DE COMERCIO DR. RAUL PEÑA;7;ITAPUA;14;HOHENAU;5138;-
3068 EDUARDO QUIÑONEZ M.;8;MISIONES;2;AYOLAS;5676;-
7229 SAN FRANCISCO DE ASIS;11;CENTRAL;14;SAN LORENZO;13632;-
3969 (13608);5;CAAGUAZU;12;J EULOGIO ESTIGARRIBIA;3933;-
11-314;11;CENTRAL;15;VILLA ELISA;12682;-
10260 BANCO YPARAGUAYMI;3;CORDILLERA;3;ARROYOS Y ESTEROS;2379;-
2716 AMADO COLMAN PEREZ;4;GUAIRA;9;ITURBE;3023;-
6719 (15359) VIRGEN MARIA AUXILIADORA;3;CORDILLERA;3;ARROYOS Y ESTEROS;2387;-
MI RINCON DE CHOCOLATE;11;CENTRAL;7;LAMBARE;8001;-
GLOBAL ED;11;CENTRAL;14;SAN LORENZO;13758;-
EN CIENCIAS GEOGRAFICAS;0;ASUNCION;0;ASUNCION;330;-
SAN JUAN;1;CONCEPCION;3;HORQUETA;1055;-
SANTA MARIA;4;GUAIRA;2;BORJA;10648;-
E.M.A. SANTA ELENA;10;ALTO PARANA;1;CIUDAD DEL ESTE;6687;-
1927 SANTA LIBRADA;4;GUAIRA;9;ITURBE;3016;-
DON VICTORIANO ARROYO;11;CENTRAL;18;YPANE;8777;-
6450 VIRGEN DE FATIMA;5;CAAGUAZU;2;CAAGUAZU;11423;-
14-4;14;CANINDEYU;7;FRANCISCO CABALLERO ALVAREZ;9739;-
3014 DON CARLOS ANTONIO LOPEZ;7;ITAPUA;11;FRAM;5082;-
SAN JUAN BAUTISTA;8;MISIONES;1;SAN JUAN BAUTISTA;5652;-
619 J.I. KINDER ON LINE;0;ASUNCION;0;ASUNCION;11586;-
15123 C.E. EBENEZER;11;CENTRAL;7;LAMBARE;8047;-
C.R. PARA E.P.Nº 5 SRA ANTOLINA L. DE JA;12;ÐEEMBUCU;1;PILAR;8846;-
OÑONDIVEPA;2;SAN PEDRO;8;SAN ESTANISLAO;11280;-
6747 INMACULADA CONCEPCION DE MARIA;11;CENTRAL;1;AREGUA;12128;-
3318 DR. DAVID N. SARUBBI SALDIVAR;5;CAAGUAZU;1;CORONEL OVIEDO;3213;-
SAN IGNACIO DE LOYOLA;5;CAAGUAZU;10;SAN JOSE DE LOS ARROYOS;3784;-
4002 SAN FELIPE Y SANTIAGO;2;SAN PEDRO;6;LIMA;1611;-
PROF. CASTULO MAIDANA;13;AMAMBAY;3;CAPITAN BADO;9264;-
1433 N. SRA. DE LA ASUNCION;7;ITAPUA;2;BELLA VISTA;4751;-
2757 MAURICIO CARDOZO OCAMPO;8;MISIONES;2;AYOLAS;5669;-
SAN RAFAEL;11;CENTRAL;9;LUQUE;8242;-
978 SAN ANTONIO DE PADUA;2;SAN PEDRO;4;GENERAL ELIZARDO AQUINO;1457;-
3890 (11666) SAN JOSE;5;CAAGUAZU;20;VAQUERIA;3827;-
SAN MIGUEL ARCANGEL;11;CENTRAL;14;SAN LORENZO;12159;-
7566 SIMON BOLIVAR;14;CANINDEYU;3;CURUGUATY;16277;-
INMACULADA CONCEPCION;10;ALTO PARANA;1;CIUDAD DEL ESTE;6453;-
5990 AUGUSTO ROA BASTOS;15;PRESIDENTE HAYES;4;VILLA HAYES;10450;-
5-271;5;CAAGUAZU;1;CORONEL OVIEDO;11876;-
5678 (14580);13;AMAMBAY;1;PEDRO JUAN CABALLERO;9147;-
2368;11;CENTRAL;16;VILLETA;8731;-
6915 (10299) DEFENSORES DE PIRIBEBUY;3;CORDILLERA;14;PIRIBEBUY;6099;-
15322 PRESBITERIANA RENACER;11;CENTRAL;7;LAMBARE;8046;-
1971 JOSE MARIA ALFONZO GODOY;5;CAAGUAZU;13;R.I. 3 CORRALES;3994;-
MUNICIPAL DE ENS. MEDIA;10;ALTO PARANA;1;CIUDAD DEL ESTE;6656;-
MARIA AUXILIADORA;7;ITAPUA;24;TOMAS ROMERO PEREIRA;5457;-
4545 (13426 ) VIDALIA SALVADORA BERNAL;14;CANINDEYU;11;YASY KAÐY;9461;-
6406 (15172) SAN JOSE;2;SAN PEDRO;17;CAPIIBARY;3913;-
CEMPPJA N°151;5;CAAGUAZU;2;CAAGUAZU;3426;-
6952 EL PARQUECITO;0;ASUNCION;0;ASUNCION;713;-
SAN MARCOS;11;CENTRAL;8;LIMPIO;8313;-
15111 DEL SOL (338 CARITAS);10;ALTO PARANA;1;CIUDAD DEL ESTE;6480;-
2581 NIÑOS MARITRES DE ACOSTA ÑU;1;CONCEPCION;3;HORQUETA;991;-
1547 MANUEL ORTIZ GUERRERO;7;ITAPUA;5;CAPITAN MIRANDA;4874;-
7729 MARIA AUXILIADORA;11;CENTRAL;3;F. DE LA MORA;16496;-
5083 (14915) JHON F. KENNEDY;3;CORDILLERA;1;CAACUPE;2304;-
SAN ISIDRO LABRADOR (EX HUGUA JHU);11;CENTRAL;17;YPACARAI;8755;-
NRO. 22;11;CENTRAL;19;J AUGUSTO SALDIVAR;15687;-
5974 DESPERTAR;10;ALTO PARANA;1;CIUDAD DEL ESTE;10210;-
7259 KO'E POTY;2;SAN PEDRO;14;GENERAL RESQUIN;13654;-
ANTONIO PROVOLO;7;ITAPUA;1;ENCARNACION;11068;-
746 DEFENSORES DEL CHACO;9;PARAGUARI;1;PARAGUARI;5884;-
7335 (15055) PRIV. LOS TULIPANES;11;CENTRAL;14;SAN LORENZO;8633;-
5802 (14699);14;CANINDEYU;3;CURUGUATY;9546;-
SAN ISIDRO LABRADOR;2;SAN PEDRO;3;CHORE;1432;-
JUAN DE LA CRUZ GAONA;11;CENTRAL;1;AREGUA;7531;-
3453 SAGRADA FAMILIA;11;CENTRAL;5;ITA;7849;-
2-47;2;SAN PEDRO;3;CHORE;1440;-
450 CAP. JUAN ALBERTO ROA;5;CAAGUAZU;1;CORONEL OVIEDO;3153;-
REPUBLICA ORIENTAL DEL URUGUAY;7;ITAPUA;12;GENERAL ARTIGAS;5092;-
1799 SAN ROQUE;6;CAAZAPA;2;ABAI;4259;-
2-57;2;SAN PEDRO;6;LIMA;1603;-
C.E. SGDO CORAZON DE JESUS;11;CENTRAL;3;FERNANDO DE LA MORA;7759;-
FD EN SERV. CAP. AGUSTIN F. DE PINEDO;11;CENTRAL;14;SAN LORENZO;8562;-
1-33;1;CONCEPCION;1;CONCEPCION;838;-
171 DEFENSORES DEL CHACO;12;ÐEEMBUCU;9;LOS LAURELES;8943;-
S/N;6;CAAZAPA;2;ABAI;4304;-
SANTA ANA;11;CENTRAL;6;ITAUGUA;7951;-
ESC.AGRICOLA DE MCAL.JOSE F.ESTIGARRIBIA;16;BOQUERON;2;MARISCAL ESTIGARRIBIA;10270;-
PROFESIONALIZACION CRE;13;AMAMBAY;1;PEDRO JUAN CABALLERO;9107;-
7660 DORA GIMENEZ;11;CENTRAL;18;YPANE;16419;-
10-37;10;ALTO PARANA;11;MINGA GUAZU;7211;-
PADRE BERNARDINO ALVARENGA;1;CONCEPCION;2;BELEN;920;-
AULA VIVA;0;ASUNCION;0;ASUNCION;261;-
4089 ESPIRITU SANTO;10;ALTO PARANA;11;MINGA GUAZU;7201;-
3848 (1516) DON CARLOS ANTONIO LOPEZ;14;CANINDEYU;12;YVYRAROBANA;9375;-
3376 SANTA TERESA DE JESUS;7;ITAPUA;18;MAYOR OTAÐO;5214;-
2025 MARIA AUXILIADORA;10;ALTO PARANA;8;ÐACUNDAY;7079;-
4949 (14826) ACOSTA ÑU;1;CONCEPCION;3;HORQUETA;1045;-
2728 JUAN PABLO II;0;ASUNCION;0;ASUNCION;254;-
4675 BUENA VISTA;15;PRESIDENTE HAYES;1;POZO COLORADO;10029;-
922 ROSA C. MARIN DE GAMARRA;9;PARAGUARI;2;ACAHAY;5939;-
1980 SAN ISIDRO;5;CAAGUAZU;5;SANTA ROSA DEL MBUTUY;3536;-
VIRGEN DEL ROSARIO;3;CORDILLERA;9;ITACURUBI DE LA CORDILLERA;13147;-
2882 (13087) SAN BLAS;7;ITAPUA;30;ITAPUA POTY;4822;-
1140 P.S. CRISTO REY FROSEP.;12;ÐEEMBUCU;1;PILAR;8828;-
HOGAR MITA'I VY'AHO;4;GUAIRA;1;VILLARRICA;8641;-
ATENEO DE LENGUA Y CULTURA GUARANI;10;ALTO PARANA;1;CIUDAD DEL  ESTE;10272;-
2644 VECINOS UNIDOS;5;CAAGUAZU;1;CORONEL OVIEDO;3179;-
8 DE DICIEMBRE;10;ALTO PARANA;16;MINGA PORA;16524;-
658 AGUSTIN BARBOZA;2;SAN PEDRO;3;CHORE;1350;-
573 JARDIN MATERNO INFANTIL AMANECER;11;CENTRAL;9;LUQUE;10955;-
2035 FULGENCIO YEGROS;7;ITAPUA;12;GENERAL ARTIGAS;5095;-
200 LA FAMILIA CONEJIN;0;ASUNCION;0;ASUNCION;573;-
CERRO ISE;9;PARAGUARI;2;ACAHAY;16888;-
PABLO BASEDAU;9;PARAGUARI;17;YVYTIMI;6409;-
11-169 SAN ISIDRO LABRADOR;11;CENTRAL;11;NUEVA ITALIA;8370;-
DR. ELIGIO AYALA;1;CONCEPCION;3;HORQUETA;1003;-
E.M.A. CENTRO 11-292;11;CENTRAL;15;VILLA ELISA;11237;-
5966 (MARACANA 6TO ENCUADRE 1RA LINEA);14;CANINDEYU;3;CURUGUATY;11291;-
4992 (13330) SAN ISIDRO;2;SAN PEDRO;20;LIBERACION;1391;-
5929  NTRA. SRA. DEL PERPETUO SOCORRO;10;ALTO PARANA;7;JUAN E. O?LEARY;10222;-
S/N SAN FRANCISCO DE ASIS;8;MISIONES;7;SANTA ROSA;5830;-
MARTIRES DE CERRO CORA;1;CONCEPCION;7;YVY YA?U;1200;-
5312 (10447) SAN JUAN;4;GUAIRA;2;BORJA;2822;-
717 SAN ISIDRO;10;ALTO PARANA;7;JUAN E. O?LEARY;7018;-
4185 (14402) SAN ISIDRO LABRADOR;11;CENTRAL;14;SAN LORENZO;8495;-
1042 SAN ALFONSO;0;ASUNCION;0;ASUNCION;440;-
INDIGENA PANAMBI;5;CAAGUAZU;14;RAUL ARSENIO OVIEDO;16734;-
14584 MARIA AUXILIADORA;2;SAN PEDRO;9;SAN PABLO;1299;-
2609 JULIO AFARA PAVIA;7;ITAPUA;24;TOMAS ROMERO PEREIRA;5463;-
DIVINO NIÑO JESUS;3;CORDILLERA;9;ITACURUBI DE LA CORDILLERA;13727;-
LAS MERCEDES;11;CENTRAL;14;SAN LORENZO;8492;-
4970 (15388) PRIV. SUBV. CRUZ ROJA PARAG;2;SAN PEDRO;8;SAN ESTANISLAO;1827;-
7298 PEPE SEMILLITA IV;11;CENTRAL;5;ITA;13686;-
4900 (14757);16;BOQUERON;2;MARISCAL ESTIGARRIBIA;10050;-
PADRE RVDO. GUIDO CORONEL;10;ALTO PARANA;20;SANTA FE DEL PARANA;6891;-
4621 PROCERES DE MAYO;11;CENTRAL;15;VILLA ELISA;8696;-
VIRGEN DEL CARMEN;12;ÐEEMBUCU;4;DESMOCHADOS;8891;-
13574 CERRO RAPE;14;CANINDEYU;5;ITANARA;9656;-
4953 (14133) 1º DE MAYO;1;CONCEPCION;3;HORQUETA;980;-
5321 (12652) SANTA MARIA;4;GUAIRA;17;PASO YOBAI;2955;-
9-130;9;PARAGUARI;5;CARAPEGUA;15975;-
3323 (13369) SAN JOSE;7;ITAPUA;5;CAPITAN MIRANDA;4871;-
1180 COLEGIO ALEMAN CONCORDIA;0;ASUNCION;0;ASUNCION;259;-
3603 (13472 ) SAGRADA FAMILIA;10;ALTO PARANA;10;LOS CEDRALES;7126;-
1881 RCA. ARABE SIRIA;11;CENTRAL;14;SAN LORENZO;8534;-
SAN FRANCISCO DE ASIS;11;CENTRAL;18;YPANE;8783;-
4127 (13184)  SAN BLAS;2;SAN PEDRO;14;GENERAL RESQUIN;2061;-
SAN RAMON;7;ITAPUA;18;MAYOR OTAÐO;5229;-
AMERICAN CENTER;9;PARAGUARI;5;CARAPEGUA;6079;-
872 PROF. HORTENSIA BAEZ DE DUARTE;10;ALTO PARANA;3;DOMINGO MARTINEZ DE IRALA;6785;-
6517 YVYRA`IJA;1;CONCEPCION;7;YVY YA?U;11322;-
TZU-CHI DEL PARAGUAY;9;PARAGUARI;15;YAGUARON;11698;-
6359 SAN ANTONIO;11;CENTRAL;9;LUQUE;13205;-
3254 GRAL.JOSE EDUVIGIS DIAZ;14;CANINDEYU;10;NUEVA ESPERANZA;9303;-
72;0;ASUNCION;0;ASUNCION;87;-
9-67;9;PARAGUARI;4;GENERAL BERNARDINO CABALLERO;6006;-
1949 PORFIRIO LARROSA;2;SAN PEDRO;5;ITACURUBI DEL ROSARIO;1563;-
691 PROF. GUDELIA CABRERA GARCIA;3;CORDILLERA;1;CAACUPE;2285;-
E.M.A. VIRGEN DE CAACUPE;7;ITAPUA;24;TOMAS ROMERO PEREIRA;5511;-
2702 SAN ISIDRO;8;MISIONES;3;SAN IGNACIO;5699;-
SAN FRANCISCO DE ASIS;5;CAAGUAZU;1;CORONEL OVIEDO;12784;-
DON CAMILO SOSA CASTILLO;9;PARAGUARI;5;CARAPEGUA;12887;-
2759 COLEGIO ARGENTINO;0;ASUNCION;0;ASUNCION;361;-
VIRGEN MARIA GORETTI;2;SAN PEDRO;5;ITACURUBI DEL ROSARIO;15284;-
11644;5;CAAGUAZU;5;STA ROSA DEL MBUTUY;3544;-
7809 S/N COMUN. INDIGENA KA'AGUY POTYRA;14;CANINDEYU;6;YPEJHU;16612;-
SAN VICENTE FERRER;14;CANINDEYU;3;CURUGUATY;9595;-
9-89;9;PARAGUARI;5;CARAPEGUA;10513;-
1138 SANTA TERESITA;11;CENTRAL;9;LUQUE;8176;-
6422 (15159)  NUEVA ERA;11;CENTRAL;14;SAN LORENZO;8637;-
2472;14;CANINDEYU;3;CURUGUATY;9436;-
MARIA AUXILIADORA (ADELA SPERATTI);7;ITAPUA;17;OBLIGADO;5204;-
7387 ROCA DE FE;16;BOQUERÓN;57;FERNHEIN;13979;-
4695 DR. PROF. LES ANDREW HAVEMANN;13;AMAMBAY;1;PEDRO JUAN CABALLERO;9208;-
JUAN ALBERTO SAMANIEGO;0;ASUNCION;0;ASUNCION;700;-
S/N;6;CAAZAPA;2;ABAI;4305;-
ITACUA;1;CONCEPCION;1;CONCEPCION;833;-
1-88;1;CONCEPCION;6;SAN LAZARO;15379;-
5029 (15258) STA. TERESA DEL NIÑO JESUS;5;CAAGUAZU;2;CAAGUAZU;3464;-
1377 MAESTRA JUANA PABLA R. DE RODRIGUEZ;4;GUAIRA;9;ITURBE;3022;-
APE AIME;7;ITAPUA;21;SAN RAFAEL DEL PARANA;5372;-
3058 SAN MIGUEL ARCANGEL;5;CAAGUAZU;4;CECILIO BAEZ;3530;-
3846 (14141);14;CANINDEYU;4;VILLA YGATIM?;9367;-
CENTRO EDUCATIVO RENACIMIENTO;7;ITAPUA;1;ENCARNACION;10923;-
NIÑO JESUS;3;CORDILLERA;15;PRIMERO DE MARZO;2606;-
6261 (15045) SAN VICENTE DE PAUL;15;PRESIDENTE HAYES;4;VILLA HAYES;10003;-
FUENTE DE VIDA;5;CAAGUAZU;1;CORONEL OVIEDO;11261;-
3186 SAN VICENTE;5;CAAGUAZU;7;REPATRIACION;3645;-
12762;10;ALTO PARANA;19;IRUÑA;7055;-
2633 SAN JUAN BOSCO;2;SAN PEDRO;18;SANTA ROSA DEL AGUARAY;1638;-
1969 DON RAFAEL MELGAREJO CASCO;5;CAAGUAZU;1;CORONEL OVIEDO;3209;-
863;11;CENTRAL;8;LIMPIO;8087;-
5157 (12505) SAN CARLOS;6;CAAZAPA;2;ABAI;4279;-
7527 NTRA. SRA. DE BETHARRAM;10;ALTO PARANA;6;ITAKYRY;16033;-
AMANECER;11;CENTRAL;9;LUQUE;8167;-
CFCL VIRGEN DEL PILAR;4;GUAIRA;1;VILLARRICA;16835;-
DR. IGNACIO A. PANE;0;ASUNCION;0;ASUNCION;488;-
9-41 CLOTILDE DE RIVAS;9;PARAGUARI;17;YVYTIMI;6425;-
3028 SAN ROQUE GONZALEZ DE SANTA CRUZ;2;SAN PEDRO;17;CAPIIBARY;1778;-
4342 (10061) DR. JOSE G. RODRIGEZ DE FRA;1;CONCEPCION;3;HORQUETA;941;-
11-335;11;CENTRAL;14;SAN LORENZO;11931;-
1698 PADRE FRANCISCO AYALA;8;MISIONES;3;SAN IGNACIO;5716;-
444 JARDIN DE INFANTES CONEJITO;14;CANINDEYU;3;CURUGUATY;9530;-
ACARAY COSTA;10;ALTO PARANA;6;ITAKYRY;13942;-
3455 (13582) SANTA RITA DE CASIA;11;CENTRAL;2;CAPIATA;7575;-
164 CARLOS ANTONIO LOPEZ;8;MISIONES;10;YABEBYRY;5865;-
E.M.A. SAN CARLOS;10;ALTO PARANA;11;MINGA GUAZU;7228;-
5806 (15193)  - PYPUKU;14;CANINDEYU;6;YPE JHU;9667;-
15-76;15;PRESIDENTE HAYES;4;VILLA HAYES;13275;-
1-70 BELEN;1;CONCEPCION;2;BELEN;13233;-
512 VIRGEN DEL CARMEN;7;ITAPUA;7;CARMEN DEL PARANA;4914;-
4-106 SAN ROQUE G. DE SANTA CRUZ;4;GUAIRA;1;VILLARRICA;11717;-
4464 (12468) NIÐO MARTIREZ DE ACOSTA ÐU;7;ITAPUA;25;ALTO VERA;5535;-
CENT. EDUC. DPTAL. DR. CARLOS PASTORE;11;CENTRAL;19;J AUGUSTO SALDIVAR;11897;-
6873 INSTIT. FORTUNATA GRESNER ( ex N° 18);1;CONCEPCION;1;CONCEPCION;729;-
4212 (13967) LAS MERCEDES;11;CENTRAL;14;SAN LORENZO;8492;-
3356;10;ALTO PARANA;18;SAN ALBERTO;7494;-
DEFENSORES DEL CHACO (EX CAACUPEMI);3;CORDILLERA;4;ATYRA;2412;-
1101 SAN VICENTE DE PAUL;7;ITAPUA;8;CORONEL BOGADO;4931;-
S/N LOC. INDEPENDIENTE;10;ALTO PARANA;5;HERNANDARI AS;16630;-
SANTO DOMINGO SAVIO;10;ALTO PARANA;11;MINGA GUAZU;7219;-
2372;11;CENTRAL;9;LUQUE;8203;-
1041 SANTISIMO REDENTOR;0;ASUNCION;0;ASUNCION;443;-
4756 NUEVA ALIANZA;14;CANINDEYU;4;VILLA YGATIM?;9648;-
7866 ROMANO;11;CENTRAL;8;LIMPIO;16707;-
2-138;2;SAN PEDRO;18;SANTA ROSA DEL AGUARAY;11984;-
3952 (13446) MARIA AUXILIADORA;5;CAAGUAZU;14;RAUL ARSENIO OVIEDO;4019;-
5853 (14489);5;CAAGUAZU;7;REPATRIACION;3674;-
PADRE FRANCISCO AYALA;2;SAN PEDRO;10;TACUATI;1956;-
2-2;2;SAN PEDRO;13;VILLA DEL ROSARIO;2272;-
VIRGEN MEDALLA MILAGROSA;10;ALTO PARANA;1;CIUDAD DEL ESTE;6563;-
3314 VIRGEN DE FATIMA;5;CAAGUAZU;2;CAAGUAZU;3375;-
374 LA CASITA DEL DULCE Y RENE;0;ASUNCION;0;ASUNCION;365;-
E.M.A. SANTA MARIA;10;ALTO PARANA;1;CIUDAD DEL ESTE;6641;-
1539 VIRGEN MARIA;7;ITAPUA;1;ENCARNACION;4676;-
6221 SANTA ROSA DE LIMA;11;CENTRAL;2;CAPIATA;12137;-
MCAL. FRANCISCO S. LOPEZ (EX  STA RO;14;CANINDEYU;3;CURUGUATY;9556;-
RENACER;11;CENTRAL;13;SAN ANTONIO;16878;-
1402 VIRGEN DE FATIMA;5;CAAGUAZU;1;CORONEL OVIEDO;3199;-
SAN CARLOS BORROMEO;6;CAAZAPA;7;SAN JUAN NEPOMUCENO;4465;-
ATENEO DE LENGUA - REGIONAL ENCARNACION;7;ITAPUA;1;ENCARNACION;10272;-
PARROQ. SAN JOSE;7;ITAPUA;8;CORONEL BOGADO;4932;-
14310;1;CONCEPCION;3;HORQUETA;1032;-
MARIA LUISA DE SAMANIEGO;2;SAN PEDRO;3;CHORE;1438;-
6431 NIÑO JESUS;10;ALTO PARANA;19;IRUÐA;11305;-
3170 MARIA AUXILIADORA;10;ALTO PARANA;5;HERNANDARIAS;6847;-
509 DOMINGO ROBLEDO;7;ITAPUA;1;ENCARNACION;4685;-
4839  MEDALLA MILAGROSA;11;CENTRAL;9;LUQUE;8291;-
1167 BAUTISTA JUAN AMOS COMENIO;0;ASUNCION;0;ASUNCION;119;-
14708;17;ALTO PARAGUAY;2;PUERTO CASADO;8272;-
3825 (11886) DIVINO NIÑO JESUS;10;ALTO PARANA;13;SANTA RITA;7280;-
7593 FREDESVINDA VALL DE MENDEZ;11;CENTRAL;5;ITA;7880;-
3901 (10290) JOSE FELIX BOGADO;3;CORDILLERA;2;ALTOS;2342;-
4102 (14423) SAN RAFAEL;10;ALTO PARANA;7;JUAN E. O?LEARY;7013;-
5277 (12249) VIRGEN DE FATIMA;6;CAAZAPA;5;GENERAL HIGINIO MORINIGO;3032;-
5803 (14702 );14;CANINDEYU;11;YASY KAÐY;9548;-
DE ENFERMERIA ENMANUEL;7;ITAPUA;24;TOMAS ROMERO P.;16005;-
7486 VIRGEN DE FATIMA;9;PARAGUARI;8;MBUYAPEY;15903;-
5637 (14470) SAN JUAN BAUTISTA;11;CENTRAL;19;J AUGUSTO SALDIVAR;8797;-
15405;13;AMAMBAY;1;PEDRO JUAN CABALLERO;9207;-
ATENEO DE LENGUA - REGIONAL LIMPIO;11;CENTRAL;8;LIMPIO;10272;-
SANTA LUCIA;5;CAAGUAZU;1;CORONEL OVIEDO;3240;-
533 SEMILLITA;8;MISIONES;2;AYOLAS;10293;-
808 DR. BERNARDO OCAMPOS;11;CENTRAL;7;LAMBARE;7977;-
PBRO. JUAN BAUTISTA CASSANELLO;15;PRESIDENTE HAYES;3;PUERTO PINASCO;9885;-
3504 (13098) BEATO ROQUE GONZALEZ;5;CAAGUAZU;22;NUEVA TOLEDO;4116;-
VIRGEN PEREGRINA;11;CENTRAL;16;VILLETA;10443;-
4461 (12562) ANGEL ZARZA;7;ITAPUA;25;ALTO VERA;5516;-
2019 PRIV. SUBV. PROF. LIDIA ALLENDE DE;7;ITAPUA;13;GENERAL DELGADO;5120;-
6559 (15371) JESUS MISERICORDIOSO;11;CENTRAL;8;LIMPIO;8129;-
VIRGEN DE LA PAZ;0;ASUNCION;0;ASUNCION;411;-
316 SAN LORENZO;5;CAAGUAZU;2;CAAGUAZU;3284;-
3738 (11570) ASOC. CRISTIANA DE JOVENES;0;ASUNCION;0;ASUNCION;148;-
3-73;3;CORDILLERA;14;PIRIBEBUY;2595;-
6632 (15463) DOÑA JUANA MARIA DE LARA;2;SAN PEDRO;17;CAPIIBARY;1907;-
6134 MARCOS ANTONIO MONTIEL;4;GUAIRA;17;PASO YOBAI;11140;-
SAGRADA FAMILIA;11;CENTRAL;2;CAPIATA;7648;-
5307 (13945);4;GUAIRA;8;ITAPE;3002;-
5010 (14764) SANTA LIBRADA;2;SAN PEDRO;19;YRYVU CUA;1830;-
2810 SAN BLAS;9;PARAGUARI;8;MBUYAPEY;6129;-
1376 VIRGEN DE FATIMA;4;GUAIRA;9;ITURBE;3021;-
11-363;11;CENTRAL;2;CAPIATA;11915;-
3961 (14295) MARIA ROSA MISTICA;5;CAAGUAZU;14;RAUL ARSENIO OVIEDO;4035;-
